##Thermal_diffusivity,,,,,,,,,,,
,,,,,,,,,,,
##General_information,,,,,,,,,,,
#Database,wg.mdb,,,,,,,,,,
#Instrument,#LFA_427,,,,,,,,,,
#Identity,10#,,,,,,,,,,
#Date,2019/5/2,,,,,,,,,,
#Material,SnTe-micro-1%2017.1114),,,,,,,,,,
#Ref_temperature /℃,20,,,,,,,,,,
#Ref_density /(g/cm^3),6.4,,,,,,,,,,
#Sample,10#,,,,,,,,,,
#Type,#Single_layer,,,,,,,,,,
#Coating,C,,,,,,,,,,
#Thickness_RT/mm,1.39,,,,,,,,,,
#Diameter/mm,12.64,,,,,,,,,,
#Sensor,InSb,,,,,,,,,,
#Beam_enlargement/mm,#unknown,,,,,,,,,,
#Laser_filter/mm,#unknown,,,,,,,,,,
#Atmosphere,Ar,,,,,,,,,,
#Gas_flow/(ml/min),60,,,,,,,,,,
#Laboratory,434,,,,,,,,,,
#Operator,wg,,,,,,,,,,
#Customer,gfk,,,,,,,,,,
#Remark_mment,---,,,,,,,,,,
#Cp_table,Cp_const,,,,,,,,,,
#Expansion_table,dL_const,,,,,,,,,,
#Temp_recalib_file,Tcalzero.tcx,,,,,,,,,,
#CalcCode,CL+p/l/0-0-0,,,,,,,,,,
,,,,,,,,,,,
##Results,,,,,,,,,,,
#Shot_number,#Temperature/℃,#Model,#Diffusivity/(mm^2/s),#Laser_voltage/V,#Pulse_width/ms,,,,,,
1,31.6,CapeL 模型 + 脉冲修正,0.608,450,0.6,,,,,,
2,31.9,CapeL 模型 + 脉冲修正,0.624,450,0.6,,,,,,
3,31.9,CapeL 模型 + 脉冲修正,0.619,450,0.6,,,,,,
#Mean,31.8,,0.617,,,,,,,,
#Std_Dev,0.2,,0.008,,,,,,,,
4,101.7,CapeL 模型 + 脉冲修正,0.56,450,0.6,,,,,,
5,101.7,CapeL 模型 + 脉冲修正,0.558,450,0.6,,,,,,
6,101.6,CapeL 模型 + 脉冲修正,0.559,450,0.6,,,,,,
#Mean,101.7,,0.559,,,,,,,,
#Std_Dev,0,,0.001,,,,,,,,
7,201.7,CapeL 模型 + 脉冲修正,0.481,450,0.6,,,,,,
8,201.6,CapeL 模型 + 脉冲修正,0.485,450,0.6,,,,,,
9,201.6,CapeL 模型 + 脉冲修正,0.485,450,0.6,,,,,,
#Mean,201.6,,0.483,,,,,,,,
#Std_Dev,0,,0.002,,,,,,,,
10,301.7,CapeL 模型 + 脉冲修正,0.425,450,0.6,,,,,,
11,301.6,CapeL 模型 + 脉冲修正,0.424,450,0.6,,,,,,
12,301.6,CapeL 模型 + 脉冲修正,0.424,450,0.6,,,,31.8,304.95,0.617
#Mean,301.6,,0.424,,,,,,101.7,374.85,0.559
#Std_Dev,0,,0.001,,,,,,201.6,474.75,0.483
13,401.9,CapeL 模型 + 脉冲修正,0.396,450,0.6,,,,301.6,574.75,0.424
14,401.7,CapeL 模型 + 脉冲修正,0.393,450,0.6,,,,401.7,674.85,0.394
15,401.6,CapeL 模型 + 脉冲修正,0.392,450,0.6,,,,451.8,724.95,0.399
#Mean,401.7,,0.394,,,,,,501.8,774.95,0.415
#Std_Dev,0.1,,0.002,,,,,,551.8,824.95,0.439
16,451.9,CapeL 模型 + 脉冲修正,0.398,450,0.6,,,,,,
17,451.8,CapeL 模型 + 脉冲修正,0.4,450,0.6,,,,,,
18,451.7,CapeL 模型 + 脉冲修正,0.398,450,0.6,,,,,,
#Mean,451.8,,0.399,,,,,,,,
#Std_Dev,0.1,,0.001,,,,,,,,
19,501.9,CapeL 模型 + 脉冲修正,0.415,450,0.6,,,,,,
20,501.8,CapeL 模型 + 脉冲修正,0.414,450,0.6,,,,,,
21,501.7,CapeL 模型 + 脉冲修正,0.417,450,0.6,,,,,,
#Mean,501.8,,0.415,,,,,,,,
#Std_Dev,0.1,,0.001,,,,,,,,
22,551.9,CapeL 模型 + 脉冲修正,0.44,450,0.6,,,,,,
23,551.8,CapeL 模型 + 脉冲修正,0.439,450,0.6,,,,,,
24,551.7,CapeL 模型 + 脉冲修正,0.437,450,0.6,,,,,,
#Mean,551.8,,0.439,,,,,,,,
#Std_Dev,0.1,,0.002,,,,,,,,
